ID KODE NAMA WARNA HARGA_LAHAN NILAI_GADAI UPG_RUMAH UPG_HT R0 R1 R2 R3 R4 R5
2 GRT Garut COKLAT 60 30 50 50 2 10 30 90 160 250
4 TSK Tasikmalaya COKLAT 60 30 50 50 4 20 60 180 320 450
6 GBR Gambir STASIUN 200 100 0 0 25 50 100 200 200 200
7 BGR Bogor BIRU_MUDA 100 50 50 50 6 30 90 270 400 550
9 DPK Depok BIRU_MUDA 100 50 50 50 6 30 90 270 400 550
10 BKS Bekasi BIRU_MUDA 120 60 50 50 8 40 100 300 450 600
12 MGL Magelang PINK 140 70 100 100 10 50 150 450 625 750
13 PLN PLN UTILITAS 150 75 0 0 0 0 0 0 0 0
14 SOL Solo PINK 140 70 100 100 10 50 150 450 625 750
15 YOG Yogyakarta PINK 160 80 100 100 12 60 180 500 700 900
16 STB Stasiun_Tugu STASIUN 200 100 0 0 25 50 100 200 200 200
17 MAL Malang ORANGE 180 90 100 100 14 70 200 550 750 950
19 SMG Semarang ORANGE 180 90 100 100 14 70 200 550 750 950
20 SBY Surabaya ORANGE 200 100 100 100 16 80 220 600 800 1000
22 MKS Makassar MERAH 220 110 150 150 18 90 250 700 875 1050
24 BLP Balikpapan MERAH 220 110 150 150 18 90 250 700 875 1050
25 MND Manado MERAH 240 120 150 150 20 100 300 750 925 1100
26 TUG Stasiun_Tugu_Lama STASIUN 200 100 0 0 25 50 100 200 200 200
27 PLB Palembang KUNING 260 130 150 150 22 110 330 800 975 1150
28 PKB Pekanbaru KUNING 260 130 150 150 22 110 330 800 975 1150
29 PAM PAM UTILITAS 150 75 0 0 0 0 0 0 0 0
30 MED Medan KUNING 280 140 150 150 24 120 360 850 1025 1200
32 BDG Bandung HIJAU 300 150 200 200 26 130 390 900 1100 1275
33 DEN Denpasar HIJAU 300 150 200 200 26 130 390 900 1100 1275
35 MTR Mataram HIJAU 320 160 200 200 28 150 450 1000 1200 1400
36 GUB Stasiun_Gubeng STASIUN 200 100 0 0 25 50 100 200 200 200
38 JKT Jakarta BIRU_TUA 350 175 200 200 35 175 500 1100 1300 1500
40 IKN Ibu_Kota_Nusantara BIRU_TUA 400 200 200 200 50 200 600 1400 1700 2000
